insect;rabbit
bear;insect
rabbit;snake
rabbit;insect
dog;cat
lion;crocodilia
cow;bear
lion;snake
insect;bear
rabbit;dog
bird;lion
bear;cat
cat;dog
cat;cetacean
crocodilia;bear
crocodilia;lion
crocodilia;bear
snake;lion
fish;fish
fish;lion
lion;cow
insect;insect
bear;lion
bird;dog
bird;lion
snake;insect
lion;cat
dog;bear
insect;rabbit
insect;fish
bear;lion
dog;insect
rabbit;cetacean
bird;insect
rabbit;lion
bear;dog
cow;rabbit
insect;rabbit
cat;snake
fish;fish
bird;insect
dog;cetacean
fish;bird
horse;bear
bird;bear
horse;dog
crocodilia;rabbit
bear;horse
fish;cetacean
insect;crocodilia
rabbit;insect
cow;dog
bird;horse
lion;snake
fish;cow
horse;snake
horse;bear
lion;cat
crocodilia;cat
insect;cetacean
bear;crocodilia
rabbit;lion
cetacean;dog
bear;cat
bear;cetacean
lion;bear
rabbit;dog
horse;horse
insect;cat
bird;dog
fish;dog
crocodilia;cetacean
bear;snake
bear;cow
cetacean;bear
horse;cat
cat;fish
horse;dog
insect;cat
cat;cetacean
fish;cow
crocodilia;cat
cow;bear
bird;crocodilia
fish;rabbit
dog;fish
fish;dog
bird;rabbit
cat;fish
insect;crocodilia
horse;bird
cetacean;rabbit
bear;insect
bird;cow
bear;crocodilia
cow;lion
horse;rabbit
dog;bear
cat;bear
cow;bird
bird;rabbit
horse;snake
fish;crocodilia
fish;dog
lion;lion
dog;fish
insect;bear
cetacean;dog
