Name;Unterart;Art;
Malcolm;White-winged Crossbill;bird;
Wilfrid;Humpback whale;cetacean;
Marquise;Satin;rabbit;
Reva;Whiteleg shrimp;fish;
Yvette;Levantina;cow;
Lincoln;Cape lion;lion;
Bettye;Keeshond;dog;
Tomasa;Northeast Congo Lion;lion;
Avis;Burmese;cat;
Tia;Chortai;dog;
Brisa;White-crowned Pigeon;bird;
Merl;Xoloitzcuintli;dog;
Arthur;Simmental;cow;
Lowell;Lapponian Herder;dog;
Abagail;Marbled Godwit;bird;
Shirley;Thrianta;rabbit;
Raphael;Baldfaced hornet;insect;
Jack;Spectacled bear;bear;
Blair;Flemish Giant;rabbit;
Rogelio;Tan;rabbit;
Claudia;Palomino;rabbit;
Laron;Bhutia Horse;horse;
Gloria;Rainbow trout;fish;
Ike;Kafa;horse;
Darrion;Cinnamon;rabbit;
Zella;Square Meater;cow;
Domenico;Cedit;cow;
Adelle;Sloth bear;bear;
Rogelio;Tiphiid wasp;insect;
Arden;Northeast Congo Lion;lion;
Herbert;English Angora;rabbit;
Dariana;Raspberry Horntail;insect;
Mathias;Red-necked Stint;bird;
Gilberto;Slovenský Cuvac;dog;
Stanford;Pantropical Spotted Dolphin;cetacean;
Santos;Kabin Buri cattle;cow;
Eleonore;Sardinian Anglo-Arab;horse;
Rosalyn;Orangetailed potter wasp;insect;
Virginie;Racking Horse;horse;
Alexandria;Pink salmon;fish;
Patsy;Masai Lion;lion;
Enos;Berger Picard;dog;
Sherwood;Kanni;dog;
Margarette;Grass carp;fish;
Georgette;Blue Albion;cow;
Martin;Silver Marten;rabbit;
Abagail;Ayrshire;cow;
Kayden;Killer Whale (Orca);cetacean;
Lorena;Mini Rex;rabbit;
Mariano;Cuvier’s Dwarf Caiman;crocodilia;
Regan;Spectacled bear;bear;
Junius;Polar bear;bear;
Milton;Mole viper;snake;
Isom;Polar bear;bear;
Fannie;Munchkin;cat;
Ramiro;Eurasian Dotterel;bird;
Estelle;Hanoverian Horse;horse;
Kariane;Braconid wasp;insect;
Elwyn;Pacific thread herring;fish;
Ara;Inca Dove;bird;
Leopold;American black bear;bear;
Lori;Ganges River Dolphin;cetacean;
Kailee;Silver;rabbit;
Eloy;Omura’s whale;cetacean;
Edgar;New Zealand Heading Dog;dog;
Roderick;Alligator mississippiensis;crocodilia;
Zaria;Broad-snouted Caiman;crocodilia;
Orie;Iberian cattle;cow;
Myrtis;Palomino;rabbit;
Mae;Löwchen;dog;
Benedict;Chinese Chongqing Dog;dog;
Dangelo;Dexter cattle;cow;
Katlyn;Brown bear;bear;
Liam;Siamese Crocodile;crocodilia;
Hillary;Gelbvieh;cow;
Ashlee;Yellowhead catfish;fish;
Delilah;Transvaal lion;lion;
Jade;Spectacled Caiman;crocodilia;
Leta;Cornish Rex;cat;
Devin;Maremmano;horse;
Bernhard;Yellow-legged Gull;bird;
Jerod;Giant Angora;rabbit;
Joelle;Short-finned Pilot Whale;cetacean;
Rex;Japanese Chin;dog;
Ludie;Longman's Beaked Whale;cetacean;
Alexandria;Meuse-Rhine-Issel;cow;
America;Giant panda;bear;
Price;Stephens Stock;dog;
Drake;Beveren;rabbit;
Hattie;West African Lion;lion;
Alejandra;Manx;cat;
Erik;Cape lion;lion;
Emmy;Sun bear;bear;
Jennings;Wielkopolski;horse;
Lewis;Allegheny mound ant;insect;
Idell;Rajapalayam;dog;
Rose;Toyger;cat;
Mathilde;Holland Lop;rabbit;
Bethel;Bumblebee Hummingbird;bird;
Augustine;Kathiawadi;cow;
