Burgenland;E;Eisenstadt
Burgenland;EU;Eisenstadt Umgebung
Burgenland;GS;Güssing
Burgenland;JE;Jennersdorf
Burgenland;MA;Mattersburg
Burgenland;ND;Neusiedl am See
Burgenland;OP;Oberpullendorf
Burgenland;OW;Oberwart
Kärnten;FE;Feldkirchen
Kärnten;HE;Hermagor
Kärnten;K;Klagenfurt
Kärnten;KL;Klagenfurt Land
Kärnten;SP;Spittal an der Drau
Kärnten;SV;Sankt Veit an der Glan
Kärnten;VI;Villach
Kärnten;VK;Völkermarkt
Kärnten;VL;Villach Land
Kärnten;WO;Wolfsberg
Niederösterreich;AM;Amstetten
Niederösterreich;BL;Bruck an der Leitha
Niederösterreich;BN;Baden
Niederösterreich;GD;Gmünd
Niederösterreich;GF;Gänserndorf
Niederösterreich;HL;Hollabrunn
Niederösterreich;HO;Horn
Niederösterreich;KO;Korneuburg
Niederösterreich;KR;Krems an der Donau Land
Niederösterreich;KS;Krems an der Donau
Niederösterreich;LF;Lilienfeld
Niederösterreich;MD;Mödling
Niederösterreich;ME;Melk
Niederösterreich;MI;Mistelbach
Niederösterreich;NK;Neunkirchen
Niederösterreich;P;Sankt Pölten
Niederösterreich;PL;Sankt Pölten Land
Niederösterreich;SB;Scheibbs
Niederösterreich;SW;Schwechat
Niederösterreich;TU;Tulln
Niederösterreich;WB;Wiener Neustadt (Bezirk)
Niederösterreich;WN;Wiener Neustadt
Niederösterreich;WT;Waldhofen an der Thaya
Niederösterreich;WU;Wien Umgebung
Niederösterreich;WY;Waidhofen an der Ybbs
Niederösterreich;ZT;Zwettl
Oberösterreich;BR;Braunau am Inn
Oberösterreich;EF;Eferding
Oberösterreich;FR;Freistadt
Oberösterreich;GM;Gmunden
Oberösterreich;GR;Grieskirchen
Oberösterreich;KI;Kirchdorf an der Krems
Oberösterreich;L;Linz
Oberösterreich;LL;Linz Land
Oberösterreich;PE;Perg
Oberösterreich;RI;Ried im Innkreis
Oberösterreich;RO;Rohrbach im Mühlkreis
Oberösterreich;SD;Schärding
Oberösterreich;SE;Steyr Land
Oberösterreich;SR;Steyr
Oberösterreich;UU;Urfahr Umgebung
Oberösterreich;VB;Vöcklabruck
Oberösterreich;WE;Wels
Oberösterreich;WL;Wels Land
Salzburg;HA;Hallein
Salzburg;JO;Sankt Johann im Pongau
Salzburg;S;Salzburg Stadt
Salzburg;SL;Salzburg Umgebung
Salzburg;TA;Tamsweg
Salzburg;ZE;Zell am See
Steiermark;BA;Bad Aussee
Steiermark;BM;Bruck an der Mur
Steiermark;DL;Deutschlandsberg
Steiermark;FB;Feldbach
Steiermark;FF;Fürstenfeld
Steiermark;G;Graz
Steiermark;GB;Gröbming
Steiermark;GU;Graz Umgebung
Steiermark;HB;Hartberg
Steiermark;JU;Judenburg
Steiermark;KF;Knittelfeld
Steiermark;LB;Leibnitz
Steiermark;LE;Leoben
Steiermark;LI;Liezen
Steiermark;LN;Leoben Land
Steiermark;MU;Murau
Steiermark;MZ;Mürzzuschlag
Steiermark;RA;Radkersburg
Steiermark;VO;Voitsberg
Steiermark;WZ;Weiz
Tirol;I;Innsbruck
Tirol;IL;Innsbruck Land
Tirol;IM;Imst
Tirol;KB;Kitzbühel
Tirol;KU;Kufstein
Tirol;LA;Landeck
Tirol;LZ;Lienz
Tirol;RE;Reutte
Tirol;SZ;Schwaz
Vorarlberg;B;Bregenz
Vorarlberg;BZ;Bludenz
Vorarlberg;DO;Dornbirn
Vorarlberg;FK;Feldkirch
Wien;W;Wien
